id,title,original_title,overview,genre_ids,language,rating,poster,type,release_date,author
tv_1018,Bonanza,Bonanza,The High-Sierra adventures of Ben Cartwright and his sons as they run and defend their ranch while helping the surrounding community.,"[37, 10759, 18, 10751]",en,7.521,https://image.tmdb.org/t/p/w500/wQ1iVrG871anxkEUwWTRdPRi0j1.jpg,tv_show,1959-09-12,
tv_261145,The Amazing Digital Circus,The Amazing Digital Circus,A woman finds herself trapped in a virtual circus where she and five other humans are subject to the whims of a wacky AI ringmaster. In this digital purgatory they must face frightening NPCs and cope with their own personal traumas.,"[16, 35, 18, 10765]",en,8.472,https://image.tmdb.org/t/p/w500/lpfrgfomX8uNFxv4VaEzvJGs9TK.jpg,tv_show,2023-10-13,
tv_12225,Peppa Pig,Peppa Pig,"Peppa Pig is an energetic piggy who lives with Mummy, Daddy, and little brother George. She loves to jump in mud puddles and make loud snorting noises.","[16, 10762]",en,6.6,https://image.tmdb.org/t/p/w500/iwKVo3HlsyVNXCzFEkd0xHz3kGi.jpg,tv_show,2004-05-31,
tv_224,Match of the Day,Match of the Day,"BBC's football highlights and analysis.

""The longest-running football television programme in the world"" as recognised by Guinness World Records in 2015.","[10767, 10763]",en,7.6,https://image.tmdb.org/t/p/w500/paRFRd11WlFOxVbGnzjjCBym7FW.jpg,tv_show,1964-08-22,
tv_125282,The Cleaning Lady,The Cleaning Lady,"A whip-smart doctor comes to the U.S. for a medical treatment to save her ailing son. But when the system fails and pushes her into hiding, she refuses to be beaten down and marginalized. Instead, she becomes a cleaning lady for the mob and starts playing the game by her own rules.","[80, 18]",en,7.396,https://image.tmdb.org/t/p/w500/aoTQhDKiuKpn599yNxp03wr2ZHu.jpg,tv_show,2022-01-03,
tv_127532,Solo Leveling,俺だけレベルアップな件,"They say whatever doesn’t kill you makes you stronger, but that’s not the case for the world’s weakest hunter Sung Jinwoo. After being brutally slaughtered by monsters in a high-ranking dungeon, Jinwoo came back with the System, a program only he could see, that’s leveling him up in every way. Now, he’s inspired to discover the secrets behind his powers and the dungeon that spawned them.","[16, 10759, 10765]",en,8.652,https://image.tmdb.org/t/p/w500/geCRueV3ElhRTr0xtJuEWJt6dJ1.jpg,tv_show,2024-01-07,
tv_106,The Andy Griffith Show,The Andy Griffith Show,"The Andy Griffith Show is an American sitcom first televised on CBS between October 3, 1960 and April 1, 1968. Andy Griffith portrays the widowed sheriff of the fictional small community of Mayberry, North Carolina. His life is complicated by an inept, but well-meaning deputy, Barney Fife, a spinster aunt and housekeeper, Aunt Bee, and a precocious young son, Opie. Local ne'er-do-wells, bumbling pals, and temperamental girlfriends further complicate his life. Andy Griffith stated in a Today Show interview, with respect to the time period of the show: ""Well, though we never said it, and though it was shot in the '60s, it had a feeling of the '30s. It was when we were doing it, of a time gone by.""

The series never placed lower than seventh in the Nielsen ratings and ended its final season at number one. It has been ranked by TV Guide as the 9th-best show in American television history. Though neither Griffith nor the show won awards during its eight-season run, series co-stars Knotts and Bavier accumulated a combined total of six Emmy Awards. The show, a semi-spin-off from an episode of The Danny Thomas Show titled ""Danny Meets Andy Griffith"", spawned its own spin-off series, Gomer Pyle, U.S.M.C., a sequel series, Mayberry R.F.D., and a reunion telemovie, Return to Mayberry. The show's enduring popularity has generated a good deal of show-related merchandise. Reruns currently air on TV Land, and the complete series is available on DVD. All eight seasons are also now available by streaming video services such as Netflix.","[35, 10751]",en,7.6,https://image.tmdb.org/t/p/w500/3KvTKLH40z5zDMilg2lXqmOUrRy.jpg,tv_show,1960-10-03,
tv_2593,Without a Trace,Without a Trace,The series follows the ventures of a Missing Persons Unit of the FBI in New York City.,"[80, 9648, 10759, 18]",en,7.251,https://image.tmdb.org/t/p/w500/iNhE283iY7xtS8zCjhSxpTfOzn0.jpg,tv_show,2002-09-26,
tv_19530,Pili,霹靂布袋戲,"Pili is a puppet show from Taiwan. It is made by Pili International Multimedia. The TV series started in 1985, and it still continues today. It is one of the most popular TV shows in Taiwan. Pili puppet show is performed by many kinds of puppets, some of them are cool, some are intelligent, and some are funny. Unlike traditional puppet shows, Pili puppet show uses state-of-the-art animation to help present its fighting art. The delicate design of the appearance and characteristics of each puppet has made Pili puppet show a well-known entertainment in Taiwan.","[10759, 18]",en,6.9,https://image.tmdb.org/t/p/w500/sBVfyRYPmKSARRTodsTbwHqgcRA.jpg,tv_show,1988-06-01,
tv_14658,Survivor,Survivor,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.",[10764],en,7.3,https://image.tmdb.org/t/p/w500/1usR1nanbDvnc0LJlWd5TOylT9M.jpg,tv_show,2000-05-31,
tv_45789,Sturm der Liebe,Sturm der Liebe,"These are the stories of relationships taking place in the fictional five-star hotel Fürstenhof, located in Feldkirchen-Westerham near Rosenheim with the plot revolving around members of the family room area, the hotel owners, and employees.","[18, 10766]",en,6.0,https://image.tmdb.org/t/p/w500/jfFNydakwvbeACEwSd2Gh8UWtba.jpg,tv_show,2005-09-26,
tv_291,Coronation Street,Coronation Street,"The residents of Coronation Street are ordinary, working-class people, and the show follows them through regular social and family interactions at home, in the workplace, and in their local pub, the Rovers Return Inn. Britain's longest-running soap.",[10766],en,5.4,https://image.tmdb.org/t/p/w500/5x1HXqYqPyYw7oc7Isu1lvVmwRP.jpg,tv_show,1960-12-09,
tv_93,Falcon Crest,Falcon Crest,"Falcon Crest is an American primetime television soap opera which aired on the CBS network for nine seasons, from December 4, 1981 to May 17, 1990. A total of 227 episodes were produced.

The series revolves around the feuding factions of the wealthy Gioberti/Channing family in the Californian wine industry. Jane Wyman starred as Angela Channing, the tyrannical matriarch of the Falcon Crest Winery, alongside Robert Foxworth as Chase Gioberti, Angela's nephew who returns to Falcon Crest following the death of his father. The series was set in the fictitious Tuscany Valley northeast of San Francisco.","[10766, 18]",en,5.7,https://image.tmdb.org/t/p/w500/rgcKhBsHwAlPpeJG9yKip5oWVo9.jpg,tv_show,1981-12-04,
tv_30983,Detective Conan,名探偵コナン,"The son of a world famous mystery writer, Jimmy Kudo, has achieved his own notoriety by assisting the local police as a student detective. He has always been able to solve the most difficult of criminal cases using his wits and power of reason.","[16, 80, 9648, 35]",en,8.009,https://image.tmdb.org/t/p/w500/rRIEFvHRy01OYzmXQBbGeW0Qilc.jpg,tv_show,1996-01-08,
tv_241609,Your Friends & Neighbors,Your Friends & Neighbors,"When a financial titan suddenly finds himself divorced and jobless, he starts robbing his wealthy neighbors to stay afloat. Stealing from his own social circle strangely exhilarates him—but he gradually gets tangled in a deadly web.","[18, 80]",en,7.736,https://image.tmdb.org/t/p/w500/lcp63INKEsVHUly9eayx7gEEOcG.jpg,tv_show,2025-04-10,
tv_502,Sesame Street,Sesame Street,"On a special inner city street, the inhabitants—human and muppet—teach preschoolers basic educational and social concepts using comedy, cartoons, games, and songs.","[10762, 35]",en,7.1,https://image.tmdb.org/t/p/w500/14k9BfZ2p4rQBMeJ5crKTfUZVwD.jpg,tv_show,1969-11-10,
tv_1871,EastEnders,EastEnders,"The everyday lives of working-class residents of Albert Square, a traditional Victorian square of terrace houses surrounding a park in the East End of London's Walford borough.","[10766, 18, 80]",en,4.23,https://image.tmdb.org/t/p/w500/z4jgyI5TpoRZiJTNchkVkMrGQyz.jpg,tv_show,1985-02-19,
tv_1781,Little House on the Prairie,Little House on the Prairie,"When the big woods of Wisconsin becomes a difficult spot for hunting, Charles Ingalls reluctantly decides to move his family, pioneering west. Their life on the farm in Walnut Grove, Minnesota, in the 1870s and 1880s is full of adventure, tragedy, and triumph. Based on the books of Laura Ingalls Wilder.","[37, 18, 10751]",en,7.937,https://image.tmdb.org/t/p/w500/eVpvlqKZfEVsBOttNFTUyfPoA6K.jpg,tv_show,1974-09-11,
tv_117648,Clarkson's Farm,Clarkson's Farm,"Follow Jeremy Clarkson as he embarks on his latest adventure, farming. The man who on several occasions claims to be allergic to manual labour takes on the most manually labour intensive job there is. What could possibly go wrong?","[10764, 35]",en,8.5,https://image.tmdb.org/t/p/w500/toVhyqMT3ICfahE7Ad8obJvZHpX.jpg,tv_show,2021-06-11,
tv_153312,Tulsa King,Tulsa King,"New York mafia capo Dwight ""The General"" Manfredi is released from prison after 25 years and exiled by his boss to set up shop in Tulsa, Oklahoma. Realizing that his mob family may not have his best interests in mind, Dwight slowly builds a crew.","[80, 18]",en,8.295,https://image.tmdb.org/t/p/w500/rOYLWCdAifpUtPlTf1WHxyaxeMt.jpg,tv_show,2022-11-13,
tv_91239,Bridgerton,Bridgerton,"Wealth, lust, and betrayal set in the backdrop of Regency era England, seen through the eyes of the powerful Bridgerton family.",[18],en,8.06,https://image.tmdb.org/t/p/w500/uXTg565ahu9RwonCX1V2Hex1NU6.jpg,tv_show,2020-12-25,
tv_66025,Animal Kingdom,Animal Kingdom,"17-year-old Joshua ""J"" Cody moves in with his freewheeling relatives in their Southern California beach town after his mother dies of a heroin overdose. Headed by boot-tough matriarch Janine ""Smurf"" Cody and her right-hand Baz, who runs the business and calls the shots, the clan also consists of Pope, the oldest and most dangerous of the Cody boys; Craig, the tough and fearless middle son; and Deran, the troubled, suspicious ""baby"" of the family.","[80, 18]",en,7.744,https://image.tmdb.org/t/p/w500/rzvdKrnSRKPFI0pgqMQknDPpRC9.jpg,tv_show,2016-06-14,
tv_91555,All Elite Wrestling: Dynamite,All Elite Wrestling: Dynamite,A world-class roster of diverse male and female wrestlers give fans a new wrestling experience for the first time in 20 years.,"[10759, 18]",en,8.0,https://image.tmdb.org/t/p/w500/gPNWVCp0zrHRmwfovUpUQO44sts.jpg,tv_show,2019-10-02,
tv_113360,Jimihen!! Jimiko o Kae Chau Jun Isei Kouyuu,じみへんっ!!～地味子を変えちゃう純異性交遊～,"The story follows Rena Yukuhasahi, a reserved office lady and Ryouhei Hachiya, a businessman and fellow colleague. Yukuhasahi appears to be the most reserved girl in the company, but becomes a super beautiful woman when she dresses up. Flustered in the presence of her transformed self, Hachiya insists on taking her out, only to find themselves in front of a love hotel.","[16, 35]",en,6.4,https://image.tmdb.org/t/p/w500/to5FshluwPdO9d3Ucs7fagJL7OU.jpg,tv_show,2021-01-03,
tv_688,The West Wing,The West Wing,The West Wing provides a glimpse into presidential politics in the nation's capital as it tells the stories of the members of a fictional presidential administration. These interesting characters have humor and dedication that touches the heart while the politics that they discuss touch on everyday life.,[18],en,8.252,https://image.tmdb.org/t/p/w500/yqDWr5NAE7m1IWrygYwLyEB6pN0.jpg,tv_show,1999-09-22,
tv_484,"Murder, She Wrote","Murder, She Wrote",An unassuming mystery writer turned sleuth uses her professional insight to help solve real-life homicide cases.,"[9648, 80, 18]",en,7.534,https://image.tmdb.org/t/p/w500/3UxBFG4fiuZ0P9n2sCrjXh64Avy.jpg,tv_show,1984-09-30,
tv_280511,The Witness,The Witness,"With their 2-year-old as the sole witness to her murder, Rachel Nickell's partner fights to protect him amid a flawed investigation.","[18, 80]",en,5.4,https://image.tmdb.org/t/p/w500/eNIfjYji9m29Xyj4KVDiUy2UmMa.jpg,tv_show,2026-06-04,
tv_1104,Mad Men,Mad Men,"Set in 1960-1970 New York, this sexy, stylized and provocative drama follows the lives of the ruthlessly competitive men and women of Madison Avenue advertising.",[18],en,8.1,https://image.tmdb.org/t/p/w500/7v8iCNzKFpdlrCMcqCoJyn74Nsa.jpg,tv_show,2007-07-19,
tv_31911,Fullmetal Alchemist: Brotherhood,鋼の錬金術師 FULLMETAL ALCHEMIST,"Disregard for alchemy’s laws ripped half of Edward Elric’s limbs from his body and left his brother Alphonse’s soul clinging to a suit of armor. To restore what was lost, the brothers seek the Philosopher’s Stone. Enemies and allies – the corrupt military, the Homunculi, and foreign alchemists – will alter the Elric brothers course, but their purpose will remain unchanged and their bond unbreakable.","[16, 10759, 10765, 18]",en,8.7,https://image.tmdb.org/t/p/w500/5ZFUEOULaVml7pQuXxhpR2SmVUw.jpg,tv_show,2009-04-05,
tv_106449,A Record of a Mortal's Journey to Immortality,凡人修仙传,"A poor and ordinary boy from a village joins a minor sect in Jiang Hu and becomes an Unofficial Disciple by chance. How will Han Li, a commoner by birth, establish a foothold for himself in his sect? With his mediocre aptitude, he must successfully traverse the treacherous path of cultivation and avoid the notice of those who may do him harm. This is a story of an ordinary mortal who, against all odds, clashes with devilish demons and ancient celestials in order to find his own path towards immortality.","[16, 10759, 10765]",en,8.5,https://image.tmdb.org/t/p/w500/i6SYuRHPtODpZ8VX9ql21nj0tDq.jpg,tv_show,2020-07-25,
tv_2004,Malcolm in the Middle,Malcolm in the Middle,"A gifted young teen tries to survive life with his dimwitted, dysfunctional family.",[35],en,8.471,https://image.tmdb.org/t/p/w500/uftxEWbn3OSykTy4DX4BrdVeiuv.jpg,tv_show,2000-01-09,
tv_279388,Pursuit of Jade,逐玉,"This drama follows Fan Changyu, a butcher’s daughter, and Xie Zheng, a fallen noble seeking revenge. Their fake marriage turns into true love, but war tears them apart. Determined, Fan Changyu wields her butcher’s knife on the battlefield, searching for justice and her husband. Meanwhile, Xie Zheng reclaims his title, fighting to protect his country and love. Reunited in battle, they stand together, defying fate, uncovering the truth, and returning home without forgetting their vows.",[18],en,7.9,https://image.tmdb.org/t/p/w500/tKMqVzKi4dVvm9Bdpb4oEEgnZYH.jpg,tv_show,2026-03-06,
tv_220150,Pokémon Horizons,ポケットモンスター,"Follow Liko and Roy as they unravel the mysteries that surround them and encounter Friede, Captain Pikachu, Amethio, and others during their exciting adventures!","[16, 10759, 10765, 10762]",en,8.651,https://image.tmdb.org/t/p/w500/amemXW39lMbNBJFRMJ5W7q9mLP2.jpg,tv_show,2023-04-14,
tv_2458,CSI: NY,CSI: NY,"Follow the investigations of a team of NYPD forensic scientists and police officers identified as ""Crime Scene Investigators"".","[80, 18, 9648]",en,7.312,https://image.tmdb.org/t/p/w500/4TGV4Bb3OPay4cHkQRlfwghv3vC.jpg,tv_show,2004-09-22,
tv_95603,Kuruluş Osman,Kuruluş Osman,"The epic continuation of Diriliş Ertuğrul, Kuruluş Osman follows Osman Bey — son of Ertuğrul and destined founder of the Ottoman Empire — as he transforms a small Turkic tribe into a sovereign state. Battling the Byzantine Empire, Mongol forces and treachery from within, Osman must prove himself as both a warrior and a leader. A sweeping historical action drama built on faith, honour and the birth of one of history's greatest empires.","[10768, 10759, 18]",en,7.91,https://image.tmdb.org/t/p/w500/tu4BWsGFHcYDWulZwHxylA91vo0.jpg,tv_show,2019-11-20,
tv_1950,Everwood,Everwood,"After the death of his wife, world-class neurosurgeon Dr. Andrew Brown leaves Manhattan and moves his family to the small town of Everwood, Colorado. There he becomes a small-town doctor and learns parenting on the fly as he raises his talented but resentful 15-year-old son Ephram and his 9-year-old daughter Delia.","[18, 10751]",en,7.6,https://image.tmdb.org/t/p/w500/uuWIIIjT6hyCLGQTVG0cwLfubb9.jpg,tv_show,2002-09-16,
tv_39272,Once Upon a Time,Once Upon a Time,"There is a town in Maine where every story book character you've ever known is trapped between two worlds, victims of a powerful curse. Only one knows the truth and only one can break the spell.","[18, 10765]",en,7.394,https://image.tmdb.org/t/p/w500/u95scYysMZvBoekSLmMNJjeqXcY.jpg,tv_show,2011-10-23,
tv_224941,The Boroughs,The Boroughs,"In a seemingly perfect retirement community, a crew of unlikely heroes must stop an otherworldly threat from stealing the one thing they don't have: time.","[10765, 9648]",en,7.199,https://image.tmdb.org/t/p/w500/oKxBWbXmnWFO2Wh1QRTtshdfIRa.jpg,tv_show,2026-05-21,
tv_50821,Among Friends,Barátok közt,Miklós introduces viewers into the world of Money and Charm.,"[18, 10751]",en,3.775,https://image.tmdb.org/t/p/w500/kBBbSgNchtMvsgD6z1oI1RRluHP.jpg,tv_show,1998-10-26,
tv_125988,Silo,Silo,"In a ruined and toxic future, thousands live in a giant silo deep underground. After its sheriff breaks a cardinal rule and residents die mysteriously, engineer Juliette starts to uncover shocking secrets and the truth about the silo.","[10765, 18]",en,8.152,https://image.tmdb.org/t/p/w500/fDMTqUcEh6qJwWZP1SHTfoaqsCy.jpg,tv_show,2023-05-04,
